,Degree Centrality,Betweenness Centrality,Closeness Centrality,Risk level
fund_annual_report_net_expense_ratio,0.1111111111111111,0.0,0.4587301587301587,0
fund_price_book_ratio,0.38888888888888884,0.058397271952259154,0.5734126984126984,0
fund_price_cashflow_ratio,0.3333333333333333,0.027135008592809106,0.5351851851851852,0
fund_price_earning_ratio,0.3333333333333333,0.027135008592809106,0.5351851851851852,0
fund_price_sales_ratio,0.16666666666666666,0.0,0.38227513227513227,0
fund_sharpe_ratio_3years,0.7777777777777777,0.17991036622750184,0.7297979797979798,1
fund_treynor_ratio_3years,0.1111111111111111,0.0,0.0,0
fund_beta_3years,0.5,0.014070087343744635,0.6175213675213675,0
fund_r_squared_3years,0.1111111111111111,0.0,0.4339339339339339,0
fund_stdev_3years,0.3333333333333333,0.028993730528257385,0.5536398467432949,0
fund_return_ytd,0.4444444444444444,0.02132177285629971,0.5946502057613169,0
fund_return_1month,0.3333333333333333,0.045985372967470156,0.5351851851851852,0
fund_return_3months,0.4444444444444444,0.019376654415017586,0.5946502057613169,0
fund_return_1year,0.611111111111111,0.04821273734317213,0.6689814814814815,1
fund_return_3years,0.611111111111111,0.10040325308867509,0.6980676328502415,1
fund_return_2020,0.5,0.05911961960555312,0.6422222222222222,0
fund_return_2019,0.5555555555555556,0.05369037990521366,0.6422222222222222,1
fund_return_2018,0.38888888888888884,0.0079520697167756,0.501736111111111,0
fund_return_2017,0.38888888888888884,0.00764307209319997,0.5734126984126984,0
